"Name"	"Time"	"Recovery"	"ion"	"Value"	"Std"
"ID:4B"	3	30.6	"Cl"	33.3455551738911	0.0500541724798395
"ID:4B"	5	51	"Cl"	28.4598362495578	0.109384419298983
"ID:4B"	7	71.4	"Cl"	31.5258376896049	0.0941594461729277
"ID:5A"	2	20.4	"Cl"	17.9853858542383	0.0838525164405768
"ID:5A"	4	40.8	"Cl"	16.9790067544199	0.029396221709317
"ID:5A"	6	61.2	"Cl"	5.60501586963109	0.0867375600726573
"ID:5A"	7	71.4	"Cl"	-2.42516606964507	0.00109561437789987
"ID:4B"	1	10.2	"SO4"	100	0.006958724
"ID:4B"	3	30.6	"SO4"	100	0.00903254
"ID:4B"	5	51	"SO4"	100	0.001413271
"ID:4B"	7	71.4	"SO4"	100	0.003305727
"ID:5A"	2	20.4	"SO4"	98.8261179292497	0.0451114701249874
"ID:5A"	4	40.8	"SO4"	98.670271471427	0.0334509385964892
"ID:5A"	6	61.2	"SO4"	98.6903804331635	0.0830618352001035
"ID:5A"	7	71.4	"SO4"	98.627686856692	0.000255581051129294
"ID:4B"	1	10.2	"SiO2"	11.6838487972509	0.0732747670049607
"ID:4B"	3	30.6	"SiO2"	9.75609756097561	0.0734532441849515
"ID:4B"	5	51	"SiO2"	10.5084745762712	0.0717770929635336
"ID:4B"	7	71.4	"SiO2"	8.38926174496645	0.0701870836099024
"ID:5A"	2	20.4	"SiO2"	44.4168734491315	0.0694567529244949
"ID:5A"	4	40.8	"SiO2"	44.8275862068966	0.0646551724137931
"ID:5A"	6	61.2	"SiO2"	46.9879518072289	0.0579591091639284
"ID:5A"	7	71.4	"SiO2"	49.9115044247788	0.0530348040901842
"ID:4B"	1	10.2	"Ca"	60.2372751626483	0.0439061937463433
"ID:4B"	3	30.6	"Ca"	63.2006939173805	0.033524323573481
"ID:4B"	5	51	"Ca"	59.8751835535977	0.0146900074597398
"ID:4B"	7	71.4	"Ca"	59.6821182284176	0.0416655986922973
"ID:5A"	2	20.4	"Ca"	73.1877994979843	0.0739285183090376
"ID:5A"	4	40.8	"Ca"	71.4421599473183	0.0496299146832257
"ID:5A"	6	61.2	"Ca"	71.0757126273701	0.122043690279312
"ID:5A"	7	71.4	"Ca"	72.2555594775856	0.180638824799039
"ID:4B"	1	10.2	"Na"	40.6486966253111	0.00271157277267439
"ID:4B"	3	30.6	"Na"	37.9440632485097	0.00771564145794611
"ID:4B"	5	51	"Na"	36.4053875738217	0.00366136990405052
"ID:4B"	7	71.4	"Na"	37.7360589625921	0.0088499252474784
"ID:5A"	2	20.4	"Na"	73.7910418106037	0.0518485582356362
"ID:5A"	4	40.8	"Na"	75.0865339680478	0.0166481646948548
"ID:5A"	6	61.2	"Na"	74.7657121381116	0.00940710894854445
"ID:5A"	7	71.4	"Na"	72.2138743755006	0.0164864596275307
