"time"	"name"	"Na"	"Cl"	"SO4"	"Ca"	"SiO2_mgL"	"Rej_Cl"	"Rej_SO4"	"Rej_Na"	"Rej_Ca"	"Rej_SiO2"
"3"	"M-9.2-3-F"	"447"	122	115	10	48.6	0.0327868852459017	0.956521739130435	0.715883668903803	0.82	0.475308641975309
"4"	"M-9.2-4-F"	"499"	122	137	12	53.5	-0.0245901639344261	0.963503649635037	0.721442885771543	0.858333333333333	0.51588785046729
"5"	"M-9.2-5-F"	"571"	121	170	14	55.7	-0.0909090909090908	0.970588235294118	0.726795096322242	0.864285714285714	0.509874326750449
"5.5"	"M-9.2-5,5-F"	"639"	118	204	16	63.2	-0.11864406779661	0.975490196078431	0.737089201877934	0.85	0.531645569620253
"6"	"M-9.2-6-F"	"692"	113	223	17	71	-0.212389380530974	0.977578475336323	0.739884393063584	0.894117647058824	0.567605633802817
"6.5"	"M-9.2-6.5-F"	"808"	108	274	19	78.5	-0.305555555555556	0.981751824817518	0.752475247524752	0.873684210526316	0.587261146496815
