"Name"	"Time"	"Recovery"	"ion"	"Value"	"Std"
"ID:1 - pH 9.3"	7	71.4	"SiO2"	22.9338842975207	0.0949416169986484
"ID:1 - pH 9.3"	8	81.6	"SiO2"	23.7051792828685	0.0920599585990243
"ID:1 - pH 9.3"	8.7	88.74	"SiO2"	27.4368231046931	0.0858523268135855
"ID:2 - pH 10.2"	1.25	15	"SiO2"	49.5495495495496	0.134330759330759
"ID:2 - pH 10.2"	3	36	"SiO2"	47.5308641975309	0.119583635923505
"ID:2 - pH 10.2"	4	48	"SiO2"	51.588785046729	0.114603254790171
"ID:2 - pH 10.2"	5	60	"SiO2"	50.9874326750449	0.109166715988978
"ID:2 - pH 10.2"	5.5	66	"SiO2"	53.1645569620253	0.0992131371878207
"ID:2 - pH 10.2"	6	72	"SiO2"	56.7605633802817	0.0933155938890673
"ID:2 - pH 10.2"	6.5	78	"SiO2"	58.7261146496815	0.0872061020680978
"ID:3 - pH 10.5"	2.5	25.5	"SiO2"	65.7894736842105	0.158829025225786
"ID:3 - pH 10.5"	4	40.8	"SiO2"	64.176245210728	0.145266047902965
"ID:3 - pH 10.5"	5	51	"SiO2"	67.430441898527	0.1332357367854
"ID:3 - pH 10.5"	6	61.2	"SiO2"	68.0059523809524	0.122785160575858
"ID:3 - pH 10.5"	7	71.4	"SiO2"	70.5159705159705	0.107903357903358
"ID:3 - pH 10.5"	8	81.6	"SiO2"	72.6530612244898	0.0950350289369479
"ID:3 - pH 10.5"	8.17	83.334	"SiO2"	71.3408393039918	0.0918994004971487
