"Name"	"time"	"Stream"	"avg_mgL"	"std_mgL"	"Std_p"	"ion"	"mw"	"mM"	"Recovery"	"plot"
"ID:4A"	0	"Feed"	586.069863013699	2.42159856570733	0.00413192815145781	"Na"	22.99	25.4923820362635	0	"Na"
"ID:4A"	0.333333333333333	"Feed"	552.115525114155	0.38099817433796	0.000690069662973496	"Na"	22.99	24.0154643372838	3.4	"Na"
"ID:4A"	0.666666666666667	"Feed"	560.604109589041	1.03321538803514	0.00184303926846442	"Na"	22.99	24.3846937620288	6.8	"Na"
"ID:4A"	1	"Feed"	578.088127853881	1.22048567711659	0.00211124501319128	"Na"	22.99	25.1451991237008	10.2	"Na"
"ID:4A"	1.33333333333333	"Feed"	593.371232876712	0.710335579274191	0.00119711832983616	"Na"	22.99	25.8099709820232	13.6	"Na"
"ID:4A"	1.66666666666667	"Feed"	598.94200913242	0.464946924615799	0.000776280370263699	"Na"	22.99	26.0522839988004	17	"Na"
"ID:4A"	2	"Feed"	619.636073059361	0.981554618633487	0.00158408243372147	"Na"	22.99	26.9524172709596	20.4	"Na"
"ID:4A"	2.33333333333333	"Feed"	635.97397260274	0.723250771624603	0.00113723328749553	"Na"	22.99	27.6630697086881	23.8	"Na"
"ID:4A"	2.66666666666667	"Feed"	664.754794520548	1.15590971536429	0.00173885126499612	"Na"	22.99	28.914954089628	27.2	"Na"
"ID:4A"	3	"Feed"	670.019634703196	0.929893849231598	0.00138786059552347	"Na"	22.99	29.1439597522052	30.6	"Na"
"ID:4A"	3.33333333333333	"Feed"	688.83698630137	3.20942529908423	0.00465919421127031	"Na"	22.99	29.9624613441222	34	"Na"
"ID:4A"	3.66666666666667	"Feed"	715.7	1.30443442739435	0.00182259945143824	"Na"	22.99	31.1309264897782	37.4	"Na"
"ID:4A"	4	"Feed"	738.754794520548	1.20757048476618	0.00163460256870467	"Na"	22.99	32.1337448682274	40.8	"Na"
"ID:4A"	4.5	"Feed"	786.818721461187	6.06368280853116	0.00770658176164188	"Na"	22.99	34.2243897982248	45.9	"Na"
"ID:4A"	5	"Feed"	828.937442922374	0.755538752500794	0.000911454487852765	"Na"	22.99	36.0564350988419	51	"Na"
"ID:4A"	6	"Feed"	958.225114155251	8.18177435400316	0.00853846787476033	"Na"	22.99	41.6800832603415	61.2	"Na"
"ID:4A"	8	"Feed"	1321.42602739726	7.99450406492195	0.00604990661540721	"Na"	22.99	57.4782961025342	81.6	"Na"
"ID:4A"	0.333333333333333	"Permeate"	167.073287671233	1.44488714420538	0.00864822356910002	"Na"	22.99	7.26721564468173	3.4	"Na"
"ID:4A"	0.666666666666667	"Permeate"	167.255936073059	0.188884688125158	0.00112931530300157	"Na"	22.99	7.27516033375639	6.8	"Na"
"ID:4A"	1	"Permeate"	172.152054794521	0.1065503368911	0.000618931542921623	"Na"	22.99	7.48812765526405	10.2	"Na"
"ID:4A"	1.33333333333333	"Permeate"	173.424885844749	0.84755949799758	0.00488718498426069	"Na"	22.99	7.5434922072531	13.6	"Na"
"ID:4A"	1.66666666666667	"Permeate"	176.726255707763	0.272833438403038	0.00154381949252747	"Na"	22.99	7.68709246227762	17	"Na"
"ID:4A"	2	"Permeate"	176.028767123288	0.384226972425563	0.00218275102816835	"Na"	22.99	7.65675368087376	20.4	"Na"
"ID:4A"	2.33333333333333	"Permeate"	180.411187214612	0.301892621191505	0.00167335865282225	"Na"	22.99	7.84737656435893	23.8	"Na"
"ID:4A"	2.66666666666667	"Permeate"	180.386073059361	0.518222093061369	0.00287284979528788	"Na"	22.99	7.84628416961117	27.2	"Na"
"ID:4A"	3	"Permeate"	184.583561643836	0.516607694017588	0.00279877411301886	"Na"	22.99	8.02886305540825	30.6	"Na"
"ID:4A"	3.33333333333333	"Permeate"	185.914611872146	0.38099817433794	0.00204931807404118	"Na"	22.99	8.08675997703985	34	"Na"
"ID:4A"	3.66666666666667	"Permeate"	196.257077625571	0.397142164776015	0.0020235813636933	"Na"	22.99	8.5366279958926	37.4	"Na"
"ID:4A"	4	"Permeate"	199.424885844749	0.311579015454354	0.0015623878340686	"Na"	22.99	8.67441869703127	40.8	"Na"
"ID:4A"	4.5	"Permeate"	206.155479452055	0.618314833777243	0.00299926461048077	"Na"	22.99	8.96718048943257	45.9	"Na"
"ID:4A"	5	"Permeate"	214.302739726027	0.658674809872402	0.00307357157782712	"Na"	22.99	9.32156327646922	51	"Na"
"ID:4A"	6	"Permeate"	234.351826484018	0.269604640315394	0.00115042687893785	"Na"	22.99	10.1936418653335	61.2	"Na"
"ID:4A"	1	"Perm spand"	145.019634703196	0.758767550588316	0.00523217116179643	"Na"	22.99	6.30794409322298	10.2	"Na"
"ID:4A"	2	"Perm spand"	155.922602739726	0.0403599760951181	0.000258846218482442	"Na"	22.99	6.7821923766736	20.4	"Na"
"ID:4A"	4	"Perm spand"	207.572146118721	3.13193414498154	0.0150884124076562	"Na"	22.99	9.02880148406792	40.8	"Na"
"ID:4A"	0	"Feed"	175.797874453715	0.0344142156121911	0.000195760134865862	"Cl"	35.45	4.95903736117672	0	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.333333333333333	"Feed"	169.941199841081	0.0449491795748544	0.000264498424260205	"Cl"	35.45	4.79382792217435	3.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.666666666666667	"Feed"	172.700437028208	4.63819346737781	0.0268568716280679	"Cl"	35.45	4.87166253958274	6.8	"Ca, Cl, SiO2, SO4 "
