"time"	"name"	"Na"	"Cl"	"SO4"	"Ca"	"SiO2_mgL"	"Rej_Cl"	"Rej_SO4"	"Rej_Na"	"Rej_Ca"	"Rej_SiO2"
2.5	"M-9.2-2,5-F"	"511"	122	100	4.6	49.4	0.0491803278688525	0.95	0.784735812133072	0.739130434782609	6.11202335340267
4	"M-9.2-4-F"	"589"	122	123	5.1	52.2	-0.040983606557377	0.959349593495935	0.787775891341256	0.745098039215686	6.42194684747876
5	"M-9.2-5-F"	"662"	120	142	5.4	61.1	-0.116666666666667	0.964788732394366	0.791540785498489	0.740740740740741	6.47675736961451
6	"M-9.2-6-F"	"755"	114	168	5.7	67.2	-0.245614035087719	0.970238095238095	0.796026490066225	0.736842105263158	6.71580671580672
7	"M-9.2-7-F"	"897"	108	214	6.5	81.4	-0.342592592592593	0.976635514018692	0.809364548494983	0.753846153846154	6.91933916423712
8	"M-9.2-8-F"	"1145"	94	291	7.8	98	-0.563829787234043	0.982817869415808	0.822707423580786	0.769230769230769	6.79436564799922
