"Name"	"Time"	"Stream"	"Recovery"	"ion"	"Value"	"Std"	"plot"
"ID:1 - pH 9.3"	6	"Permeate"	61.2	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Feed"	71.4	"SO4"	1.89342346063866	0.0300791514320421	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Permeate"	71.4	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Feed"	81.6	"SO4"	2.23211210879599	0.000445289760629416	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Permeate"	81.6	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Feed"	88.74	"SO4"	3.23405138419148	0.0913399146236442	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Permeate"	88.74	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	0	"Feed"	0	"SO4"	0.736364096763847	0.00297194505313001	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Feed"	36	"SO4"	1.20047436568361	0.00903200786890891	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Permeate"	36	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	4	"Feed"	48	"SO4"	1.42492586277721	0.00390936713855736	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	4	"Permeate"	48	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Feed"	60	"SO4"	1.76585861314156	0.00242227377741663	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Permeate"	60	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Feed"	66	"SO4"	2.12550151650714	0.00636485023769743	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Permeate"	66	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Feed"	72	"SO4"	2.34692843999527	0.0114439148186999	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Permeate"	72	"SO4"	0	NA	"Ca, Cl, SiO2, SO4 "
