"Name"	"Time"	"Recovery"	"ion"	"Value"	"std"
"ID:8A"	0.5	15.5555555555556	"rej_Cl"	-44.0528780903212	0.0660632190403255
"ID:8A"	1	31.1111111111111	"rej_Cl"	6.55036383506143	0.0532325544184274
"ID:8A"	1.5	46.6666666666667	"rej_Cl"	0.045303381645756	0.0252674035297606
"ID:8A"	2	62.2222222222222	"rej_Cl"	-7.94949184684623	0.00269544035521057
"ID:8A"	2.5	77.7777777777778	"rej_Cl"	-9.20181023656961	0.00425801422736521
"ID:8A"	3	93.3333333333333	"rej_Cl"	-18.49368144969	0.00244371266894204
"ID:8B"	0.5	17.5	"rej_Cl"	13.9281419503458	0.000304446662404733
"ID:8B"	1	35	"rej_Cl"	12.3785239119968	0.00221243780853169
"ID:8B"	1.5	52.5	"rej_Cl"	9.61937815374771	0.000818090243175667
"ID:8B"	2	70	"rej_Cl"	7.49636132187815	0.150173182182835
"ID:8B"	2.5	87.5	"rej_Cl"	0.0249605170003719	0.000481412924502175
"ID:8A"	0.5	15.5555555555556	"rej_SO4"	72.9606322259623	0.0128945135703334
"ID:8A"	1	31.1111111111111	"rej_SO4"	72.8264432615656	0.0506927607336152
"ID:8A"	1.5	46.6666666666667	"rej_SO4"	71.5060551583818	0.0206485724690892
"ID:8A"	2	62.2222222222222	"rej_SO4"	74.2510817001782	0.00270356100304541
"ID:8A"	2.5	77.7777777777778	"rej_SO4"	72.0482207733428	0.00941142561856412
"ID:8A"	3	93.3333333333333	"rej_SO4"	81.0469046720246	0.00197763306623046
"ID:8B"	0.5	17.5	"rej_SO4"	75.8209440624419	0.0035954754927666
"ID:8B"	1	35	"rej_SO4"	61.6873476791496	0.00215690359381552
"ID:8B"	1.5	52.5	"rej_SO4"	76.1945065221181	0.00230895790365644
"ID:8B"	2	70	"rej_SO4"	78.1281025490648	0.00247979032340402
"ID:8B"	2.5	87.5	"rej_SO4"	81.5137258110706	0.00564876756204154
"ID:8A"	0.5	15.5555555555556	"rej_Na"	47.4620876337618	0.0166847127658045
"ID:8A"	1	31.1111111111111	"rej_Na"	50.7778418614013	0.0143298165167208
"ID:8A"	1.5	46.6666666666667	"rej_Na"	49.282167724134	0.032516701164173
"ID:8A"	2	62.2222222222222	"rej_Na"	43.4511731032292	0.0166726967483312
"ID:8A"	2.5	77.7777777777778	"rej_Na"	38.3659777617297	0.00842113655924074
"ID:8A"	3	93.3333333333333	"rej_Na"	54.5118819769121	0.0234782860922129
"ID:8B"	0.5	17.5	"rej_Na"	40.1456111566858	0.0219515815396322
"ID:8B"	1	35	"rej_Na"	40.3343715486159	0.0212028135471285
"ID:8B"	1.5	52.5	"rej_Na"	39.0622951163608	0.00455799639323888
"ID:8B"	2	70	"rej_Na"	44.1109221543244	0.00357606508087061
"ID:8B"	2.5	87.5	"rej_Na"	40.2151016366862	0.00727104172765141
"ID:8A"	0.5	15.5555555555556	"rej_Ca"	8.75630620750164	0.0224084979019322
"ID:8A"	1	31.1111111111111	"rej_Ca"	76.2091332833534	0.0591519027646502
"ID:8A"	1.5	46.6666666666667	"rej_Ca"	74.2738484772212	0.0227325664723109
"ID:8A"	2	62.2222222222222	"rej_Ca"	72.9360016312739	0.0324111344067776
"ID:8A"	2.5	77.7777777777778	"rej_Ca"	71.9109026963658	0.0343302465328374
"ID:8A"	3	93.3333333333333	"rej_Ca"	61.3519673704415	0.0785026197833276
"ID:8B"	0.5	17.5	"rej_Ca"	60.5541035023523	0.0224115971334193
"ID:8B"	1	35	"rej_Ca"	47.5086087647526	0.00385537739759197
"ID:8B"	1.5	52.5	"rej_Ca"	63.8746223564955	0.026537055270775
"ID:8B"	2	70	"rej_Ca"	66.849721183031	0.0302898164328775
"ID:8B"	2.5	87.5	"rej_Ca"	73.8341144601625	0.00797305930068829
"ID:8A"	0.5	15.5555555555556	"rej_SiO2"	32.568306010929	0.0761458532488553
"ID:8A"	1	31.1111111111111	"rej_SiO2"	30.3162486368593	0.0749381408279115
"ID:8A"	1.5	46.6666666666667	"rej_SiO2"	28.2700421940928	0.071723559788252
"ID:8A"	2	62.2222222222222	"rej_SiO2"	28.5420944558522	0.0700549661535761
"ID:8A"	2.5	77.7777777777778	"rej_SiO2"	24.7460757156048	0.0625844628851231
"ID:8A"	3	93.3333333333333	"rej_SiO2"	33.8995046001415	0.0356189641364221
"ID:8B"	0.5	17.5	"rej_SiO2"	12.5730994152047	0.0626845821353831
"ID:8B"	1	35	"rej_SiO2"	10.4956268221574	0.0617278088527174
"ID:8B"	1.5	52.5	"rej_SiO2"	13.091922005571	0.0599064352546247
"ID:8B"	2	70	"rej_SiO2"	13.2894736842105	0.0566648031307403
"ID:8B"	2.5	87.5	"rej_SiO2"	16.5458937198068	0.0530981494298678
