"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:6A"	1.5	"Permeate"	"SO4"	13.401	0.00353527007980729	96.06	0.139506558400999	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Feed"	"SO4"	200.09	0.00406403517599357	96.06	2.08296897772226	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Permeate"	"SO4"	22.17325	0.0572267538064675	96.06	0.230827087237143	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	0	"Feed"	"SO4"	161.0725	0.00129504726412034	96.06	1.67679054757443	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	2	"Perm spand"	"SO4"	14.46225	0.00652725234928193	96.06	0.150554341036852	10	20.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	4	"Perm spand"	"SO4"	32.335	0.012683529707382	96.06	0.336612533833021	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Feed"	"SO4"	145.69	0.00111630557809677	96.06	1.51665625650635	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Permeate"	"SO4"	12.6805	0	96.06	0.132006037892984	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Feed"	"SO4"	317.895	0.00751827150603365	96.06	3.30933791380387	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Permeate"	"SO4"	20.08825	0.00209440112904805	96.06	0.209121902977306	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	0	"Feed"	"SO4"	17.3475	0.00362775636406409	96.06	0.180590256089944	8.5	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	2	"Perm spand"	"SO4"	12.96075	0.247063870424418	96.06	0.134923485321674	8.5	24	"Ca, Cl, Mg, SiO2, SO4"
