"name"	"Na"	"Cl"	"SO4"	"Ca"	"SiO2_mgL"	"pH"	"Rej_Cl"	"Rej_SO4"	"Rej_Na"	"Rej_Ca"	"Rej_SiO2"	"state"	"type"	"time"	"start_vol"	"Na_mmol"	"Ca_mmol"	"Cl_mmol"	"SO4_mmol"	"SiO2_mmol"	"perm_vol"	"Recovery"	"Cl_SO4"	"SiO2_ladet"	"total_sio2_ladet"	"anion_total"	"Cl_anion"
"ID:8A"	582.621756941284	152.192300019948	123.964998632759	24.4863932541204	93.2	NA	-44.0528780903212	72.9606322259623	47.4620876337618	8.75630620750164	32.568306010929	"Batch"	"Pilot"	0.5	900	25.3423991709997	0.610968442889374	4.29315373822139	1.29049550939787	1.55126498002663	NA	15.5555555555556	NA	NA	NA	NA	NA
"ID:8A"	608.361401911698	151.713544783563	141.164889253486	30.8585665005749	93.6	NA	6.55036383506143	72.8264432615656	50.7778418614013	76.2091332833534	30.3162486368593	"Batch"	"Pilot"	1	900	26.4620009530969	0.769962735180771	4.2796486539792	1.46954912818537	1.55792276964048	NA	31.1111111111111	NA	NA	NA	NA	NA
"ID:8A"	699.371870732817	149.574107320966	166.048673776319	32.9762361057877	99.8	NA	0.045303381645756	71.5060551583818	49.282167724134	74.2738484772212	28.2700421940928	"Batch"	"Pilot"	1.5	900	30.4206990314405	0.822801439837009	4.21929780877195	1.72859331434853	1.66111850865513	NA	46.6666666666667	NA	NA	NA	NA	NA
"ID:8A"	836.649977241693	151.095152603232	215.522286026798	37.8535837485627	105	NA	-7.94949184684623	74.2510817001782	43.4511731032292	72.9360016312739	28.5420944558522	"Batch"	"Pilot"	2	900	36.3919085359588	0.944497822959296	4.26220458683305	2.24362154931083	1.74766977363515	NA	62.2222222222222	NA	NA	NA	NA	NA
"ID:8A"	1083.80518889395	147.020746060243	318.803664205633	42.3572249904178	126.8	NA	-9.20181023656961	72.0482207733428	38.3659777617297	71.9109026963658	24.7460757156048	"Batch"	"Pilot"	2.5	900	47.142461456892	1.05686972878931	4.14727069281363	3.31879725385835	2.11051930758988	NA	77.7777777777778	NA	NA	NA	NA	NA
"ID:8A"	1434.03277196177	133.859964093357	474.464041564124	31.95093905711	149.8	NA	-18.49368144969	81.0469046720246	54.5118819769121	61.3519673704415	33.8995046001415	"Batch"	"Pilot"	3	900	62.3763711162143	0.797218899573581	3.77602155411445	4.93924673708228	2.49334221038615	NA	93.3333333333333	NA	NA	NA	NA	NA
"ID:8B"	355.102412380519	196.571913026132	58.8569866010391	14.6646224607129	68.4	NA	13.9281419503458	75.8209440624419	40.1456111566858	60.5541035023523	12.5730994152047	"Batch"	"Pilot"	0.5	800	15.4459509517407	0.365902052515418	5.54504691187961	0.612710666261078	1.13848202396804	NA	17.5	NA	NA	NA	NA	NA
"ID:8B"	232.371415566682	177.880510672252	20.6767842493847	6.83595247221158	61.4	NA	12.3785239119968	61.6873476791496	40.3343715486159	47.5086087647526	10.4956268221574	"Batch"	"Pilot"	1	800	10.1074995896773	0.170566207700274	5.01778591459103	0.215248638865134	1.0219707057257	NA	35	NA	NA	NA	NA	NA
"ID:8B"	433.903049613109	208.92978256533	86.2633305988515	20.2989651207359	71.8	NA	9.61937815374771	76.1945065221181	39.0622951163608	63.8746223564955	13.091922005571	"Batch"	"Pilot"	1.5	800	18.8735558770382	0.5064864793836	5.89364689888096	0.898015100966599	1.19507323568575	NA	52.5	NA	NA	NA	NA	NA
"ID:8B"	559.385525716887	218.604627967285	130.552365326771	27.1502491376006	76	NA	7.49636132187815	78.1281025490648	44.1109221543244	66.849721183031	13.2894736842105	"Batch"	"Pilot"	2	800	24.331688808912	0.677435229742018	6.16656214294175	1.35907105274589	1.26498002663116	NA	70	NA	NA	NA	NA	NA
"ID:8B"	684.965862539827	219.776580889687	200.516817063166	44.5707167497125	82.8	NA	0.0249605170003719	81.5137258110706	40.2151016366862	73.8341144601625	16.5458937198068	"Batch"	"Pilot"	2.5	800	29.7940784053861	1.11209932505895	6.19962146374293	2.08741221177562	1.37816245006658	NA	87.5	NA	NA	NA	NA	NA
