"","mL","pH","sec","dpHdml","dvdpH","dpHdv"
"92",2.184,1.609,226.969,2.487984,24.0000000000004,0.041666666666666
"93",2.208,1.611,229.439,1.4051,42,0.0238095238095238
"94",2.232,1.61,231.911,1.493132,56.0000000000019,0.0178571428571422
"95",2.256,1.609,234.382,0.205124,55.9999999999978,0.0178571428571436
"96",2.28,1.61,236.853,4.822979,41.9999999999999,0.0238095238095239
"97",2.304,1.613,239.324,3.248652,41.9999999999999,0.0238095238095239
"98",2.328,1.613,241.794,1.617061,27.9999999999999,0.0357142857142858
"99",2.352,1.615,244.265,2.691398,41.9999999999999,0.0238095238095239
"100",2.376,1.615,246.736,1.780306,27.9999999999999,0.0357142857142858
"101",2.4,1.616,249.207,0.774343,23.9999999999996,0.0416666666666673
"102",2.424,1.616,251.679,0.508537,28,0.0357142857142857
"103",2.448,1.616,254.149,2.029873,33.5999999999993,0.0297619047619054
"104",2.472,1.618,256.621,5.159724,23.9999999999996,0.0416666666666673
"105",2.496,1.62,259.092,1.017073,55.9999999999979,0.0178571428571435
"106",2.52,1.618,261.564,2.479437,55.9999999999979,0.0178571428571435
"107",2.544,1.618,264.035,0.942716,56.0000000000021,0.0178571428571422
"108",2.568,1.619,266.509,4.905883,28,0.0357142857142857
"109",2.592,1.622,268.979,2.80849,33.6000000000007,0.0297619047619041
"110",2.616,1.621,271.45,1.0675,56.0000000000021,0.0178571428571422
"111",2.64,1.621,273.922,2.227305,56.0000000000021,0.0178571428571422
"112",2.664,1.623,276.392,7.770782,16.8000000000004,0.0595238095238082
"113",2.688,1.628,278.862,4.246067,18.6666666666669,0.0535714285714279
"114",2.712,1.627,281.333,0.355548,21,0.0476190476190476
"115",2.736,1.627,283.804,1.056389,28.000000000001,0.0357142857142845
"116",2.76,1.628,286.278,0.333327,24.0000000000003,0.0416666666666661
"117",2.784,1.628,288.751,1.98372,20.9999999999999,0.0476190476190477
"118",2.808,1.629,291.224,1.375186,27.9999999999999,0.0357142857142858
"119",2.832,1.629,293.694,0.058973,167.999999999981,0.00595238095238163
"120",2.856,1.629,296.164,6.687043,24.0000000000003,0.0416666666666661
"121",2.88,1.634,298.634,3.505912,33.6000000000007,0.0297619047619042
"122",2.904,1.632,301.104,2.75379,42,0.0238095238095238
"123",2.928,1.632,303.577,1.395698,33.5999999999993,0.0297619047619054
"124",2.952,1.633,306.049,3.288822,28,0.0357142857142857
"125",2.976,1.635,308.52,1.995686,28,0.0357142857142857
"126",3,1.635,310.992,0.119656,28,0.0357142857142857
"127",3.024,1.635,313.464,3.807615,42,0.0238095238095238
"128",3.048,1.638,315.935,4.187094,28,0.0357142857142857
"129",3.072,1.638,318.405,1.05297,33.5999999999993,0.0297619047619054
"130",3.096,1.637,320.877,0.920494,28,0.0357142857142857
"131",3.12,1.639,323.348,3.775992,33.6000000000007,0.0297619047619041
"132",3.144,1.64,325.819,2.21363,28,0.0357142857142857
"133",3.168,1.641,328.289,0.094015,33.6000000000007,0.0297619047619041
"134",3.192,1.64,330.759,4.060601,28,0.0357142857142857
"135",3.216,1.644,333.23,5.128101,23.9999999999996,0.0416666666666673
"136",3.24,1.645,335.7,0.381189,24.0000000000003,0.0416666666666661
"137",3.264,1.644,338.17,2.816182,20.9999999999999,0.0476190476190477
"138",3.288,1.647,340.641,5.156305,20.9999999999999,0.0476190476190477
"139",3.312,1.648,343.111,2.376875,20.9999999999999,0.0476190476190477
"140",3.336,1.649,345.589,1.154677,18.6666666666664,0.0535714285714294
"141",3.36,1.649,348.06,0.095725,33.5999999999992,0.0297619047619055
"142",3.384,1.649,350.53,2.223886,27.9999999999999,0.0357142857142858
"143",3.408,1.651,353,3.217883,21,0.0476190476190476
"144",3.432,1.652,355.473,0.309395,42,0.0238095238095238
"145",3.456,1.651,357.944,0.341019,42,0.0238095238095238
"146",3.48,1.652,360.414,4.491362,28,0.0357142857142857
"147",3.504,1.655,362.885,3.452066,28,0.0357142857142857
"148",3.528,1.655,365.358,0.697422,33.6000000000007,0.0297619047619041
"149",3.552,1.654,367.83,2.910197,28,0.0357142857142857
"150",3.576,1.657,370.303,4.698195,28,0.0357142857142857
"151",3.6,1.658,372.774,1.409373,24.0000000000004,0.041666666666666
"152",3.624,1.658,375.25,0.055554,28,0.0357142857142857
"153",3.648,1.658,377.721,2.189699,33.6000000000007,0.0297619047619041
"154",3.672,1.66,380.192,6.315256,18.6666666666669,0.0535714285714279
"155",3.696,1.664,382.664,6.355426,15.2727272727271,0.0654761904761911
"156",3.72,1.665,385.134,0.670927,28,0.0357142857142857
"157",3.744,1.663,387.609,1.736717,27.9999999999999,0.0357142857142858
"158",3.768,1.664,390.079,3.853768,20.9999999999999,0.0476190476190477
"159",3.792,1.666,392.55,3.434118,18.6666666666664,0.0535714285714294
"160",3.816,1.667,395.021,0.029914,27.9999999999999,0.0357142857142858
"161",3.84,1.666,397.491,2.171751,33.5999999999992,0.0297619047619055
"162",3.864,1.669,399.961,6.776785,24.0000000000003,0.0416666666666661
"163",3.888,1.672,402.431,3.900775,18.6666666666668,0.0535714285714281
"164",3.912,1.672,404.904,0.155552,21,0.0476190476190476
"165",3.936,1.672,407.374,0.208543,28,0.0357142857142857
"166",3.96,1.672,409.844,0.129057,33.6000000000007,0.0297619047619041
"167",3.984,1.672,412.315,1.535011,23.9999999999996,0.0416666666666673
"168",4.008,1.673,414.785,3.462323,28,0.0357142857142857
"169",4.032,1.675,417.255,1.535866,55.9999999999979,0.0178571428571435
"170",4.056,1.675,419.725,2.451232,33.5999999999993,0.0297619047619054
"171",4.08,1.677,422.196,4.301622,28,0.0357142857142857
"172",4.104,1.678,424.668,0.470076,33.5999999999993,0.0297619047619054
"173",4.128,1.677,427.141,0.550416,23.9999999999996,0.0416666666666673
"174",4.152,1.679,429.612,5.257158,18.6666666666669,0.0535714285714279
"175",4.176,1.682,432.082,2.485419,28,0.0357142857142857
"176",4.2,1.681,434.553,0.940152,28,0.0357142857142857
"177",4.224,1.681,437.023,3.346086,28,0.0357142857142857
"178",4.248,1.683,439.494,4.093934,28,0.0357142857142857
"179",4.272,1.684,441.968,0.444435,24.0000000000004,0.041666666666666
"180",4.296,1.684,444.44,1.108524,28,0.0357142857142857
"181",4.32,1.685,446.912,4.615291,28,0.0357142857142857
"182",4.344,1.688,449.384,4.517857,21,0.0476190476190476
"183",4.368,1.689,451.857,3.601636,16.8,0.0595238095238095
"184",4.392,1.691,454.332,1.787143,24.0000000000004,0.041666666666666
"185",4.416,1.69,456.804,3.640952,16.8,0.0595238095238095
"186",4.44,1.694,459.275,2.532427,18.6666666666664,0.0535714285714292
"187",4.464,1.693,461.745,1.812784,24.0000000000004,0.041666666666666
"188",4.488,1.692,464.215,1.074337,33.5999999999991,0.0297619047619056
"189",4.512,1.693,466.69,3.623003,27.9999999999999,0.0357142857142859
"190",4.536,1.695,469.161,4.317006,27.9999999999999,0.0357142857142859
"191",4.56,1.697,471.634,2.770029,23.9999999999995,0.0416666666666675
"192",4.584,1.697,474.104,0.641013,41.9999999999998,0.0238095238095239
"193",4.608,1.698,476.574,3.477707,24.0000000000003,0.0416666666666662
"194",4.632,1.7,479.045,1.396553,23.9999999999995,0.0416666666666675
"195",4.656,1.699,481.516,0.142732,24.0000000000004,0.041666666666666
"196",4.68,1.7,483.986,3.940091,24.0000000000004,0.041666666666666
"197",4.704,1.702,486.457,1.883722,33.6000000000007,0.0297619047619041
"198",4.728,1.702,488.927,2.770884,24.0000000000004,0.041666666666666
"199",4.752,1.704,491.397,5.490487,21,0.0476190476190476
"200",4.776,1.706,493.867,1.398262,33.5999999999993,0.0297619047619054
"201",4.8,1.705,496.338,0.050426,21,0.0476190476190476
"202",4.824,1.707,498.808,3.535825,21,0.0476190476190476
"203",4.848,1.708,501.278,4.256324,21,0.0476190476190476
"204",4.872,1.71,503.752,1.830732,21,0.0476190476190476
"205",4.896,1.71,506.226,1.885432,21,0.0476190476190476
"206",4.92,1.712,508.697,4.552899,21,0.0476190476190476
"207",4.944,1.714,511.168,2.524735,18.6666666666669,0.0535714285714279
"208",4.968,1.714,513.638,0.588022,28,0.0357142857142857
"209",4.992,1.713,516.108,2.478582,21,0.0476190476190476
"210",5.016,1.716,518.579,4.716143,23.9999999999996,0.0416666666666673
"211",5.04,1.717,521.051,2.088846,23.9999999999996,0.0416666666666673
"212",5.064,1.717,523.522,2.875155,23.9999999999996,0.0416666666666673
"213",5.088,1.719,525.992,5.808429,21,0.0476190476190476
"214",5.112,1.722,528.463,1.4051,23.9999999999996,0.0416666666666673
"215",5.136,1.721,530.933,0.722208,18.6666666666669,0.0535714285714279
