Summary							
							
Sequence Details							
Name:		multi_salt_10_10.5_std			Created On:	23-nov-21 11:03:09	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 12:42:46	
No. of Injections:		180			Updated By:	Administrator	
							
By Component		Natrium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Natrium	Natrium	Natrium	Natrium	Natrium	Natrium
88	CS_Reservoir_A  5x	3,087	12,725	125,363	57,844	89,75	 M 
89	CS_Reservoir_A ufort	3,100	16,132	233,066	73,358	23,20	BM 
90	CS_Reservoir_A ufort	3,107	16,237	233,887	73,836	23,41	BM 
91	CS_Reservoir_B 5x	3,070	10,910	108,794	49,579	95,36	 M 
92	CS_Reservoir_B 5x	3,070	10,848	108,184	49,294	94,99	 M 
93	CS_Reservoir_B ufort	3,097	15,927	230,536	72,420	28,52	BM 
94	CS_Reservoir_B ufort	3,103	16,580	236,241	75,395	29,67	BM 
95	CS Makeup 5x	3,067	8,552	86,255	38,840	92,31	 M 
96	CS Makeup 5x	3,073	8,525	86,071	38,720	91,46	 M 
97	CS Makeup ufort	3,160	42,192	328,818	192,017	91,44	BM *
98	CS Makeup ufort	3,103	16,834	232,433	76,554	35,92	BM 
99	N3 reservoir 09-11-2021 5x	3,070	9,683	97,548	43,990	92,45	 M 
100	N3 reservoir 09-11-2021 5x	3,077	9,690	97,280	44,023	92,44	 M 
101	N3 reservoir 09-11-2021 ufort	3,107	17,094	234,823	77,736	33,57	BM 
102	N3 reservoir 0-11-2021 ufort	3,113	16,235	234,949	73,825	31,66	BM 
103	0F stu_oml pH 10 10x	3,070	7,950	80,432	36,097	97,79	 M 
104	0F 10x	3,063	7,939	80,313	36,050	98,49	 M 
105	3F 10x	3,057	9,878	98,740	44,880	97,08	 M 
106	3F 10x	3,077	9,774	98,043	44,404	95,88	 M 
107	4F 10x	3,077	10,995	109,555	49,963	95,50	 M 
108	4F10x	3,073	10,955	108,942	49,780	94,73	 M 
109	5F 10x 	3,087	12,594	124,041	57,245	94,81	 M 
110	5F 10x	3,087	12,511	123,353	56,868	94,08	 M 
111	5,5F 10x	3,083	14,059	136,997	63,915	93,98	 M 
112	5,5F 10x	3,087	14,037	136,729	63,814	93,31	 M 
113	6F 10x	3,097	15,305	146,263	69,592	93,64	 M 
114	6F 10x	3,093	15,135	146,259	68,815	93,11	 M 
115	6,5F 10x	3,097	17,722	167,819	80,598	95,49	 M 
116	6,5F 10x	3,103	17,802	168,439	80,962	95,87	 M 
117	Kontrol 200x	3,033	0,236	2,444	0,975	8,87	 M 
118	Kontrol 200x	3,037	0,236	2,456	0,975	9,20	 M 
119	Kontrol 20x	3,030	2,196	21,483	9,899	9,04	 M 
120	Kontrol 20x	3,030	2,210	21,589	9,964	9,04	 M 
121	0F stu_oml pH10,5 10x	3,073	8,774	88,312	39,853	99,76	 M 
122	0F 10x	3,070	9,009	90,651	40,921	99,82	 M 
123	2,5F 10x	3,083	11,233	111,453	51,046	99,55	 M 
124	2,5F 10x	3,083	11,266	111,797	51,199	99,45	 M 
125	4F 10x	3,080	12,883	126,449	58,560	99,08	 M 
126	4F 10x	3,080	12,992	127,408	59,056	98,88	BM 
127	5F 10x	3,093	14,557	141,356	66,186	98,56	 M 
128	5F 10x	3,087	14,529	140,889	66,057	98,46	 M 
129	6F 10x	3,100	16,560	158,333	75,305	98,07	 M 
130	6F 10x	3,093	16,620	159,218	75,580	98,12	 M 
131	7F 10x	3,103	19,710	183,645	89,648	97,72	BM 
132	7F 10x	3,107	19,719	184,047	89,688	98,05	 M 
133	8F 10x	3,117	25,059	223,461	114,005	97,45	BM 
134	8F 10x	3,123	25,337	225,818	115,269	97,54	BM 
135	CS_Reservoir_A_16_11_2021_5x	3,083	14,063	136,961	63,935	94,50	 M 
136	CS_Reservoir_A  5x	3,083	14,135	137,647	64,263	95,14	 M 
137	CS_Reservoir_A ufort	3,097	17,204	234,574	78,238	23,38	BM 
138	CS_Reservoir_A ufort	3,097	17,262	234,945	78,501	23,55	BM 
139	CS_Reservoir_B 5x	3,063	8,692	87,693	39,478	94,39	 M 
140	CS_Reservoir_B 5x	3,063	8,642	87,409	39,251	94,30	 M 
141	CS_Reservoir_B ufort	3,103	16,659	237,286	75,757	36,46	BM 
142	CS_Reservoir_B ufort	3,110	16,687	237,535	75,882	36,58	BM 
143	N3 reservoir 16-11-2021 5x	3,070	8,272	83,438	37,563	95,97	 M 
144	N3 reservoir 5x	3,070	8,205	82,926	37,258	95,27	 M 
145	N3 reservoir ufort	3,153	40,720	319,646	185,318	94,24	BM 
146	N3 reservoir ufort	3,160	41,057	322,690	186,852	94,32	BM 
147	CS_Reservoir_A_23_11_2021 5x	3,090	14,580	141,518	66,291	93,78	 M 
148	CS_Reservoir_A  5x	3,087	14,728	142,689	66,964	94,85	 M 
149	CS_Reservoir_A ufort	3,010	0,024	0,247	0,007	0,03	BM 
150	CS_Reservoir_A ufort	3,210	72,872	465,398	331,720	95,20	 M *
151	CS_Reservoir_B 5x	3,077	10,582	106,029	48,084	93,25	 M 
152	CS_Reservoir_B 5x	3,077	10,507	105,107	47,742	93,12	 M 
153	CS_Reservoir_B ufort	3,103	15,689	236,040	71,340	27,88	BM 
154	CS_Reservoir_B ufort	3,103	17,423	236,198	79,234	30,90	BM 
155	CS Makeup 5x	3,047	3,143	32,201	14,211	97,84	 M 
156	CS Makeup 5x	3,053	3,124	32,030	14,124	98,57	 M 
157	CS Makeup ufort	3,097	15,705	151,766	71,412	97,82	BM 
158	CS Makeup ufort	3,093	15,797	152,076	71,830	97,56	 M 
159	N3 reservoir 23-11-2021 5x	3,060	7,128	72,465	32,358	94,09	 M 
160	N3 reservoir 5x	3,063	7,104	72,173	32,248	93,26	 M 
161	N3 reservoir ufort	3,143	35,527	290,212	161,668	92,22	BM 
162	N3 reservoir ufort	3,147	35,742	292,270	162,649	92,31	BM 
163	Regnvand reservoir 23-11-21 5x	3,047	3,415	34,935	15,447	65,25	 M 
164	Regnvand reservoir 5x	3,053	3,566	36,457	16,137	65,86	 M 
165	Regnvand reservoir ufort	3,093	17,171	163,813	78,088	65,23	BM 
166	Regnvand reservoir ufort	3,090	17,236	164,508	78,384	65,17	 M 
167	Regnvand feed inlet 5x	3,050	0,003	0,060	n.a.	0,04	 M 
168	Regnvand feed inlet 5x	3,050	4,456	45,691	20,188	66,92	 M 
169	Regnvand feed inlet ufort	3,103	22,159	202,610	100,798	66,37	BM 
170	Regnvand feed inlet ufort	3,107	22,175	202,942	100,874	66,38	BM 
171	Regnvand perm 5x	3,057	4,445	45,451	20,139	66,37	 M 
172	Regnvand perm 5x	3,050	4,438	45,459	20,108	66,63	 M 
173	Regnvand perm ufort	3,110	22,050	201,864	100,305	66,29	BM 
174	Regnvand perm ufort	3,103	22,157	202,757	100,790	66,14	BM 
175	Kontrol 200x	3,033	0,233	2,406	0,962	8,81	 M 
176	Kontrol 200x	3,033	0,231	2,390	0,949	8,97	 M 
177	Kontrol 20x	3,027	2,209	21,559	9,958	8,99	 M 
178	Kontrol 20x	3,030	2,217	21,535	9,993	9,03	 M 
179	Vand	3,040	0,012	0,124	n.a.	77,73	BMB
180	Vand	3,033	0,009	0,094	n.a.	80,72	BMB
