//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
19-11-2021 12:36:28	0.00000	434.49	8.09	439.16	1223.55	0.000	0.000	0.000	0.00	0.000	270.64	20.01	4.744	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.15	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-2739.82	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:29	0.00000	434.46	8.09	437.33	1207.68	0.000	0.000	0.000	0.00	0.000	270.76	20.02	4.750	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-3988.94	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:30	0.00000	434.28	8.09	438.55	1209.75	0.000	0.000	0.000	0.00	0.000	270.76	20.02	4.726	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.65	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-1733.02	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:31	0.00000	434.49	8.09	438.25	1237.95	0.000	0.000	0.000	0.00	0.000	270.85	20.02	4.740	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.86	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-3175.35	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:32	0.00000	434.55	8.09	439.47	1227.70	0.000	0.000	0.000	0.00	0.000	270.55	20.03	4.728	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.95	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-2598.90	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:33	0.00000	434.55	8.09	439.16	1238.44	0.000	0.000	0.000	0.00	0.000	270.67	20.03	4.721	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.12	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	-3468.90	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:36	0.00000	434.37	8.09	439.47	1226.48	0.000	0.000	0.000	0.00	0.000	270.70	20.03	4.729	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.33	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:37	0.00000	434.25	8.09	435.19	1233.31	0.000	0.000	0.000	0.00	0.000	270.64	20.03	4.769	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.79	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:39	0.00000	434.28	8.09	439.77	1240.03	0.000	0.000	0.000	0.00	0.000	270.12	20.03	4.726	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1227.20	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:40	0.00000	434.03	8.09	439.47	1238.07	0.000	0.000	0.000	0.00	0.000	270.03	20.03	4.728	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1227.10	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:41	0.00000	433.85	8.09	439.47	1235.76	0.000	0.000	0.000	0.00	0.000	270.15	20.03	4.730	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.86	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:42	0.00000	434.03	8.09	438.25	1225.38	0.000	0.000	0.000	0.00	0.000	270.15	20.04	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.60	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:43	0.00000	434.13	8.09	438.55	1201.45	0.000	0.000	0.000	0.00	0.000	270.12	20.04	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.52	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:44	0.00000	434.16	8.09	438.55	1228.55	0.000	0.000	0.000	0.00	0.000	270.24	20.03	4.738	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.02	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:45	0.00000	434.06	8.09	439.16	1219.15	0.000	0.000	0.000	0.00	0.000	270.03	20.04	4.746	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1224.39	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:46	0.00000	434.00	8.09	438.55	1224.52	0.000	0.000	0.000	0.00	0.000	270.36	20.04	4.755	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.92	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:47	0.00000	434.03	8.09	438.25	1223.91	0.000	0.000	0.000	0.00	0.000	270.18	20.04	4.759	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.38	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:48	0.00000	434.03	8.09	438.55	1224.65	0.000	0.000	0.000	0.00	0.000	269.94	20.04	4.724	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.32	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:49	0.00000	434.28	8.10	439.16	1204.63	0.000	0.000	0.000	0.00	0.000	270.15	20.04	4.729	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.91	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:50	0.00000	434.03	8.10	438.55	1243.57	0.000	0.000	0.000	0.00	0.000	270.12	20.04	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.50	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:51	0.00000	434.46	8.10	439.77	1227.82	0.000	0.000	0.000	0.00	0.000	270.03	20.04	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1224.10	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:52	0.00000	434.43	8.10	438.55	1225.01	0.000	0.000	0.000	0.00	0.000	270.15	20.04	4.738	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1224.33	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:53	0.00000	434.49	8.09	439.47	1234.17	0.000	0.000	0.000	0.00	0.000	269.75	20.04	4.746	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1224.89	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:54	0.00000	434.28	8.10	438.55	1215.25	0.000	0.000	0.000	0.00	0.000	269.72	20.04	4.729	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.01	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:55	0.00000	434.34	8.10	437.64	1234.17	0.000	0.000	0.000	0.00	0.000	269.51	20.04	4.722	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1225.77	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:56	0.00000	434.46	8.10	439.16	1230.51	0.000	0.000	0.000	0.00	0.000	269.69	20.04	4.727	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1226.14	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:57	0.00000	434.58	8.10	437.33	1249.92	0.000	0.000	0.000	0.00	0.000	269.54	20.05	4.726	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1227.33	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:58	0.00000	434.28	8.09	439.16	1236.00	0.000	0.000	0.000	0.00	0.000	269.54	20.04	4.730	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1227.90	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:36:59	0.00000	434.06	8.10	438.55	1235.39	0.000	0.000	0.000	0.00	0.000	269.63	20.04	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1228.59	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:37:00	0.00000	434.22	8.10	439.16	1226.97	0.000	0.000	0.000	0.00	0.000	269.63	20.06	4.733	22.70	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1229.19	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
19-11-2021 12:37:01	0.00000	434.13	8.10	438.55	1240.76	0.000	0.000	0.000	0.00	0.000	269.63	20.05	4.733	22.69	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1229.75	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	40
