//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
22-11-2021 11:02:25	0.00000	429.85	8.00	438.25	1120.40	1.990	1.886	0.000	0.00	0.000	564.87	21.16	4.765	22.71	1	0	0	0	1	0.00	0.00	413.20	0.00	0.00	1181.33	1.956	1.840	0.000	0.00	0.000	0.00	0.000000	10.17	59.000000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:26	0.00000	429.88	8.00	436.11	1128.21	1.986	1.888	0.000	0.00	0.000	564.53	21.16	4.721	22.69	1	0	0	0	1	0.00	0.00	413.20	0.00	0.00	1178.71	1.961	1.846	0.000	0.00	0.000	0.00	0.000000	9.97	59.200001	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:27	0.00000	429.76	8.00	435.50	1148.35	1.984	1.877	0.000	0.00	0.000	564.87	21.16	4.724	22.70	1	0	0	0	1	0.00	0.00	413.20	0.00	0.00	1177.60	1.967	1.852	0.000	0.00	0.000	0.00	0.000000	10.57	59.500000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:28	0.00000	429.85	8.00	434.58	1136.88	1.983	1.874	0.000	0.00	0.000	564.53	21.16	4.726	22.70	1	0	0	0	1	0.00	0.00	413.20	0.00	0.00	1176.15	1.972	1.857	0.000	0.00	0.000	0.00	0.000000	10.37	59.700001	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:29	0.00000	429.88	8.00	434.58	1139.44	2.027	1.883	0.000	0.00	0.000	565.05	21.16	4.727	22.70	1	0	0	0	1	0.00	0.00	411.07	0.00	0.00	1174.47	1.977	1.862	0.000	0.00	0.000	0.00	0.000000	10.56	59.799999	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:30	0.00000	429.79	8.00	435.50	1135.17	1.985	1.895	0.000	0.00	0.000	564.87	21.16	4.730	22.70	1	0	0	0	1	0.00	0.00	411.07	0.00	0.00	1172.02	1.982	1.868	0.000	0.00	0.000	0.00	0.000000	10.56	60.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:31	0.00000	429.76	8.00	435.19	1164.34	2.005	1.899	0.000	0.00	0.000	564.96	21.16	4.730	22.69	1	0	0	0	1	0.00	0.00	411.07	0.00	0.00	1170.95	1.988	1.873	0.000	0.00	0.000	0.00	0.000000	10.56	60.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:32	0.00000	429.79	8.00	436.72	1208.41	1.997	1.898	0.000	0.00	0.000	565.90	21.16	4.755	22.70	1	0	0	0	1	0.00	0.00	411.07	0.00	0.00	1169.57	1.993	1.878	0.000	0.00	0.000	0.00	0.000000	10.56	60.400002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:33	0.00000	429.91	8.00	435.19	1216.83	2.016	1.907	0.000	0.00	0.000	567.06	21.16	4.731	22.69	1	0	0	0	1	0.00	0.00	411.07	0.00	0.00	1170.23	1.998	1.884	0.000	0.00	0.000	0.00	0.000000	10.56	60.400002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:34	0.00000	429.58	8.00	434.28	1183.39	2.033	1.922	0.000	0.00	0.000	567.34	21.16	4.725	22.69	1	0	0	0	1	0.00	0.00	409.87	0.00	0.00	1171.69	2.003	1.889	0.000	0.00	0.000	0.00	0.000000	10.76	60.700001	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:35	0.00000	429.88	8.00	437.64	1210.36	2.057	1.943	0.000	0.00	0.000	567.55	21.16	4.723	22.70	1	0	0	0	1	0.00	0.00	409.87	0.00	0.00	1171.84	2.009	1.895	0.000	0.00	0.000	0.00	0.000000	10.56	60.900002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:36	0.00000	429.88	8.00	435.50	1198.28	2.068	1.948	0.000	0.00	0.000	567.09	21.16	4.725	22.70	1	0	0	0	1	0.00	0.00	409.87	0.00	0.00	1173.04	2.016	1.901	0.000	0.00	0.000	0.00	0.000000	10.16	60.900002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:37	0.00000	429.58	8.00	435.50	1209.63	2.054	1.932	0.000	0.00	0.000	567.19	21.16	4.729	22.70	1	0	0	0	1	0.00	0.00	409.87	0.00	0.00	1174.97	2.022	1.907	0.000	0.00	0.000	0.00	0.000000	10.76	61.299999	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:38	0.00000	429.70	8.00	436.41	1184.85	2.042	1.920	0.000	0.00	0.000	567.25	21.17	4.728	22.70	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1177.15	2.027	1.913	0.000	0.00	0.000	0.00	0.000000	10.17	61.299999	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:39	0.00000	429.98	8.00	436.41	1197.55	2.038	1.929	0.000	0.00	0.000	567.09	21.16	4.729	22.70	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1178.25	2.033	1.919	0.000	0.00	0.000	0.00	0.000000	10.77	61.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:40	0.00000	429.55	8.00	435.19	1136.75	2.066	1.957	0.000	0.00	0.000	567.28	21.16	4.730	22.70	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1178.60	2.040	1.926	0.000	0.00	0.000	0.00	0.000000	10.17	61.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:41	0.00000	429.76	8.01	436.41	1186.56	2.101	1.988	0.000	0.00	0.000	567.03	21.16	4.755	22.70	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1179.27	2.046	1.932	0.000	0.00	0.000	0.00	0.000000	10.77	61.900002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:42	0.00000	429.64	8.00	437.33	1180.58	2.151	1.999	0.000	0.00	0.000	567.25	21.16	4.709	22.69	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1179.06	2.053	1.939	0.000	0.00	0.000	0.00	0.000000	10.97	62.200001	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:43	0.00000	429.70	8.00	435.50	1179.36	2.091	1.986	0.000	0.00	0.000	569.29	21.16	4.719	22.69	1	0	0	0	1	0.00	0.00	408.68	0.00	0.00	1178.19	2.060	1.946	0.000	0.00	0.000	0.00	0.000000	10.39	62.200001	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:44	0.00000	429.91	8.00	436.41	1127.48	2.091	1.968	0.000	0.00	0.000	569.60	21.16	4.723	22.69	1	0	0	0	1	0.00	0.00	406.83	0.00	0.00	1176.39	2.066	1.952	0.000	0.00	0.000	0.00	0.000000	10.76	62.500000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:45	0.00000	429.79	8.01	435.19	1158.85	2.093	1.963	0.000	0.00	0.000	569.60	21.17	4.727	22.69	1	0	0	0	1	0.00	0.00	406.83	0.00	0.00	1174.74	2.072	1.958	0.000	0.00	0.000	0.00	0.000000	10.36	62.500000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:46	0.00000	429.70	8.01	436.72	1146.64	2.090	1.976	0.000	0.00	0.000	569.69	21.16	4.728	22.70	1	0	0	0	1	0.00	0.00	406.83	0.00	0.00	1173.38	2.078	1.965	0.000	0.00	0.000	0.00	0.000000	10.56	62.799999	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:47	0.00000	429.98	8.01	434.28	1157.75	2.116	2.008	0.000	0.00	0.000	569.75	21.16	4.728	22.69	1	0	0	0	1	0.00	0.00	406.83	0.00	0.00	1172.26	2.085	1.971	0.000	0.00	0.000	0.00	0.000000	10.56	63.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:48	0.00000	429.85	8.00	435.19	1115.63	2.112	2.026	0.000	0.00	0.000	569.54	21.16	4.728	22.70	1	0	0	0	1	0.00	0.00	406.83	0.00	0.00	1168.89	2.092	1.978	0.000	0.00	0.000	0.00	0.000000	10.56	63.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:49	0.00000	429.79	8.01	437.33	1133.58	2.116	2.028	0.000	0.00	0.000	569.75	21.16	4.754	22.69	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1165.76	2.098	1.984	0.000	0.00	0.000	0.00	0.000000	10.54	63.400002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:50	0.00000	429.79	8.01	435.19	1146.64	2.148	2.019	0.000	0.00	0.000	569.44	21.16	4.734	22.69	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1163.76	2.103	1.990	0.000	0.00	0.000	0.00	0.000000	10.14	63.400002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:51	0.00000	429.85	8.01	434.28	1160.44	2.153	2.017	0.000	0.00	0.000	569.54	21.16	4.715	22.70	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1163.36	2.109	1.995	0.000	0.00	0.000	0.00	0.000000	10.95	63.799999	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:52	0.00000	429.64	8.00	436.11	1185.34	2.151	2.023	0.000	0.00	0.000	569.23	21.16	4.723	22.69	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1163.42	2.115	2.001	0.000	0.00	0.000	0.00	0.000000	10.95	64.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:53	0.00000	429.55	8.01	435.50	1164.10	2.107	2.035	0.000	0.00	0.000	571.64	21.16	4.720	22.70	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1162.56	2.121	2.008	0.000	0.00	0.000	0.00	0.000000	10.16	64.099998	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:54	0.00000	429.33	8.01	435.19	1163.24	2.185	2.043	0.000	0.00	0.000	571.89	21.16	4.726	22.69	1	0	0	0	1	0.00	0.00	405.37	0.00	0.00	1162.78	2.127	2.014	0.000	0.00	0.000	0.00	0.000000	10.74	64.400002	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:55	0.00000	429.64	8.01	435.19	1197.06	2.147	2.048	0.000	0.00	0.000	571.55	21.16	4.730	22.69	1	0	0	0	1	0.00	0.00	405.01	0.00	0.00	1165.10	2.133	2.020	0.000	0.00	0.000	0.00	0.000000	10.94	64.699997	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:56	0.00000	429.58	8.01	433.67	1196.94	2.152	2.050	0.000	0.00	0.000	571.64	21.16	4.724	22.69	1	0	0	0	1	0.00	0.00	405.01	0.00	0.00	1168.14	2.139	2.026	0.000	0.00	0.000	0.00	0.000000	10.94	65.000000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:57	0.00000	429.64	8.01	434.58	1153.36	2.173	2.065	0.000	0.00	0.000	571.95	21.16	4.751	22.69	1	0	0	0	1	0.00	0.00	405.01	0.00	0.00	1168.70	2.145	2.032	0.000	0.00	0.000	0.00	0.000000	10.94	65.000000	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:58	0.00000	429.46	8.01	435.50	1145.54	2.191	2.080	0.000	0.00	0.000	571.73	21.16	4.755	22.69	1	0	0	0	1	0.00	0.00	405.01	0.00	0.00	1168.93	2.151	2.038	0.000	0.00	0.000	0.00	0.000000	10.95	65.300003	0.00	0.00	0.00	0.00	20
22-11-2021 11:02:59	0.00000	429.46	8.01	435.50	1099.40	2.219	2.094	0.000	0.00	0.000	572.10	21.16	4.713	22.69	1	0	0	0	1	0.00	0.00	404.46	0.00	0.00	1168.33	2.158	2.044	0.000	0.00	0.000	0.00	0.000000	11.53	65.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:00	0.00000	430.13	8.01	435.50	1115.88	2.201	2.085	0.000	0.00	0.000	571.89	21.16	4.723	22.69	1	0	0	0	1	0.00	0.00	404.46	0.00	0.00	1167.74	2.164	2.050	0.000	0.00	0.000	0.00	0.000000	11.34	65.800003	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:01	0.00000	430.92	8.01	435.50	1127.23	2.148	2.069	0.000	0.00	0.000	571.79	21.16	4.726	22.69	1	0	0	0	1	0.00	0.00	404.46	0.00	0.00	1166.78	2.170	2.057	0.000	0.00	0.000	0.00	0.000000	10.94	65.900002	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:02	0.00000	430.22	8.01	437.33	1136.88	2.170	2.070	0.000	0.00	0.000	571.86	21.15	4.726	22.69	1	0	0	0	1	0.00	0.00	404.46	0.00	0.00	1164.78	2.175	2.063	0.000	0.00	0.000	0.00	0.000000	11.77	66.300003	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:03	0.00000	429.67	8.01	439.16	1140.78	2.196	2.086	0.000	0.00	0.000	573.63	21.16	4.730	22.69	1	0	0	0	1	0.00	0.00	404.46	0.00	0.00	1162.48	2.181	2.069	0.000	0.00	0.000	0.00	0.000000	11.17	66.300003	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:04	0.00000	429.55	8.01	439.16	1135.53	2.224	2.116	0.000	0.00	0.000	574.48	21.15	4.730	22.69	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1160.07	2.188	2.075	0.000	0.00	0.000	0.00	0.000000	11.77	66.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:05	0.00000	429.43	8.01	437.64	1158.36	2.247	2.149	0.000	0.00	0.000	574.27	21.16	4.729	22.69	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1158.26	2.195	2.082	0.000	0.00	0.000	0.00	0.000000	11.37	66.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:06	0.00000	429.36	8.01	436.41	1135.65	2.262	2.157	0.000	0.00	0.000	574.18	21.16	4.736	22.69	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1156.81	2.203	2.090	0.000	0.00	0.000	0.00	0.000000	11.57	66.900002	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:07	0.00000	429.58	8.01	437.64	1138.10	2.265	2.139	0.000	0.00	0.000	574.36	21.16	4.729	22.69	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1154.42	2.210	2.097	0.000	0.00	0.000	0.00	0.000000	11.79	67.199997	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:08	0.00000	429.49	8.01	439.77	1125.89	2.228	2.119	0.000	0.00	0.000	574.18	21.16	4.717	22.70	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1151.93	2.216	2.104	0.000	0.00	0.000	0.00	0.000000	11.79	67.199997	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:09	0.00000	429.67	8.01	438.25	1126.50	2.239	2.113	0.000	0.00	0.000	574.36	21.16	4.725	22.69	1	0	0	0	1	0.00	0.00	403.70	0.00	0.00	1149.93	2.224	2.111	0.000	0.00	0.000	0.00	0.000000	11.98	67.599998	0.00	0.00	0.00	0.00	20
22-11-2021 11:03:10	0.00000	429.49	8.01	438.55	1134.43	2.255	2.141	0.000	0.00	0.000	574.30	21.15	4.729	22.69	1	0	0	0	1	0.00	0.00	403.89	0.00	0.00	1149.11	2.232	2.119	0.000	0.00	0.000	0.00	0.000000	11.78	67.800003	0.00	0.00	0.00	0.00	20
